"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2014-06-06","22:11:02","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","22:10:57","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","22:10:49","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","22:10:07","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","22:07:10","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-06","22:05:06","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-06","19:23:48","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","19:23:48","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","19:23:47","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","19:23:47","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","19:11:19","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-06","19:11:19","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-02","15:14:22","Vong","10.0.0.66","96.31.250.226","Blocked","sp-storage.spccinta.com","Enterprise Malware"
"2014-06-06","17:45:21","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-06","17:43:44","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-06","17:43:44","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-02","14:28:48","Default Site","10.0.0.88","96.31.250.226","Blocked","stat.info-stream.net","Enterprise Malware"
